,RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRoundTime,TotalFightTimeSecs
33,Jim Miller,Damon Jackson,195.0,-238.0,2024-11-16,Red,False,Lightweight,1,3,1,0,1,2.96,0.42,1.2,2.3,0.32,4,5,30,0,0,1,2,1,2,0,6,,180.34,180.34,155,1,0,0,2.99,0.42,1.7,1.52,0.44,7,17,99,0,0,2,6,6,12,0,26,0.0,172.72,180.34,155,41,36,SUB,2:44,164.0
34,David Onama,Roberto Romero,-1450.0,850.0,2024-11-16,Red,False,Lightweight,1,3,0,0,0,4.93,0.47,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,172.72,177.8,155,0,2,0,5.6,0.5,0.6,0.73,0.2,2,2,14,0,0,0,1,2,1,0,4,1.0,180.34,187.96,145,30,24,U-DEC,5:00,900.0
35,Marcin Tybura,Jhonata Diniz,-105.0,-115.0,2024-11-16,Red,False,Heavyweight,1,3,0,3,0,3.36,0.53,0.0,0.0,0.0,3,0,6,0,0,0,1,2,0,0,3,1.0,193.04,200.66,254,1,0,0,3.57,0.49,0.1,1.42,0.33,5,8,49,0,1,0,6,4,1,0,12,1.0,190.5,198.12,249,39,33,KO/TKO,5:00,600.0
36,Mickey Gall,Ramiz Brahimaj,-170.0,142.0,2024-11-16,Blue,False,Welterweight,1,3,1,0,0,2.26,0.44,1.5,1.51,0.35,1,3,11,0,0,0,0,0,2,0,2,1.0,177.8,182.88,170,3,0,0,3.5,0.49,1.6,1.15,0.32,3,6,24,0,0,0,1,0,5,0,6,,187.96,187.96,170,32,31,KO/TKO,2:55,175.0
37,Bassil Hafez,Oban Elliott,250.0,-310.0,2024-11-16,Blue,False,Welterweight,1,3,0,3,0,4.26,0.49,0.0,2.16,0.5,3,0,9,0,1,0,2,0,0,0,3,1.0,182.88,182.88,170,0,1,0,3.71,0.38,0.0,2.21,0.24,1,1,6,0,0,0,1,0,0,0,1,1.0,180.34,182.88,170,32,26,KO/TKO,0:40,640.0
38,Veronica Hardy,Eduarda Moura,,,2024-11-16,Blue,False,Women's Flyweight,0,3,1,0,0,2.6,0.49,0.4,4.37,0.35,2,1,6,0,0,0,0,1,1,0,2,1.0,167.64,167.64,125,0,3,0,3.12,0.45,0.3,0.93,0.41,3,4,21,0,0,1,2,0,1,0,4,0.0,162.56,162.56,125,29,30,U-DEC,5:00,900.0
39,Neil Magny,Carlos Prates,550.0,-800.0,2024-11-09,Blue,False,Welterweight,1,5,0,4,0,4.39,0.57,0.0,0.44,1.0,4,0,7,0,0,0,0,4,0,0,4,,185.42,198.12,170,1,0,0,3.43,0.46,0.2,2.12,0.38,7,11,88,0,0,4,10,6,2,0,22,1.0,190.5,203.2,170,37,31,KO/TKO,4:50,290.0
40,Gerald Meerschaert,Reinier de Ridder,250.0,-310.0,2024-11-09,Blue,False,Middleweight,1,3,0,0,0,3.24,0.57,1.3,6.39,0.38,0,0,0,0,0,0,0,0,0,0,0,0.0,193.04,198.12,185,0,2,0,3.1,0.45,1.5,2.01,0.35,3,9,43,0,0,0,0,1,11,0,12,0.0,185.42,195.58,185,36,34,SUB,1:44,704.0
41,Gaston Bolanos,Cortavious Romious,205.0,-250.0,2024-11-09,Red,False,Bantamweight,1,3,0,1,0,2.1,0.37,1.0,1.97,0.66,1,1,4,0,0,0,1,0,0,0,1,0.0,162.56,172.72,135,1,0,0,3.74,0.5,0.0,0.78,1.0,1,1,5,0,0,0,1,0,0,0,1,1.0,170.18,175.26,135,32,30,U-DEC,5:00,900.0
42,Luana Pinheiro,Gillian Robertson,360.0,-470.0,2024-11-09,Blue,False,Women's Strawweight,0,3,0,2,0,2.89,0.48,1.0,2.68,0.39,2,6,37,0,0,0,2,2,7,0,11,1.0,165.1,160.02,115,2,0,0,3.42,0.4,0.2,1.8,0.33,4,2,13,0,0,1,1,1,0,0,4,1.0,157.48,157.48,115,31,29,U-DEC,5:00,900.0
