index,name,strike_accuracy,takedown_accuracy,connected_strikes_per_minute,absorved_strikes_per_minute,strikes_defense,takedown_defense,takedown_avg,submission_avg,knockdown_avg,avg_fight_time,weight,height,reach,division,age,Wins,Losses,win_by_ko_tko_win,win_by_ko_tko_win_percent,win_by_dec_win,win_by_dec_win_percent,win_by_sub_win,win_by_sub_win_percent
911.0,Marvin Vettori,0.46,0.45,4.56,4.24,0.57,0.69,1.66,0.47,0.06,16.92,185.5,72.0,74.0,Middleweight Division,31.0,19,-7,2.0,0.11,7.0,0.39,9.0,0.5
912.0,Polyana Viana,0.41,0.33,2.99,2.65,0.54,0.39,0.82,1.85,0.21,7.28,119.0,65.0,67.0,Women's Strawweight Division,31.0,13,-7,5.0,0.38,0.0,0.0,8.0,0.62
913.0,Ketlen Vieira,0.41,0.45,2.92,3.9,0.51,0.89,1.39,0.57,0.0,15.35,136.0,68.0,68.0,Women's Bantamweight Division,33.0,14,-4,2.0,0.14,8.0,0.57,4.0,0.29
914.0,Rodolfo Vieira,0.56,0.27,3.33,4.4,0.49,1.0,3.52,1.24,0.0,9.05,185.5,72.0,73.0,Middleweight Division,35.0,10,-3,1.0,0.1,0.0,0.0,9.0,0.9
915.0,Cheyanne Vlismas,0.51,0.33,4.93,2.57,0.65,0.67,0.25,0.25,0.25,12.2,115.5,63.0,63.0,Women's Strawweight Division,27.0,7,-3,2.0,0.29,5.0,0.71,0.0,0.0
918.0,Alexander Volkanovski,0.57,0.38,6.16,3.44,0.58,0.7,1.78,0.18,0.36,15.82,144.5,66.0,71.5,Featherweight Division,36.0,26,-4,13.0,0.52,9.0,0.36,3.0,0.12
919.0,Alexander Volkov,0.57,0.67,4.97,2.99,0.54,0.72,0.61,0.24,0.24,12.95,254.5,79.0,80.0,Heavyweight Division,36.0,38,-11,24.0,0.63,10.0,0.26,4.0,0.11
920.0,Jordan Vucenic,0.4,0.0,2.27,2.0,0.56,0.75,0.0,0.0,1.0,15.0,155.0,70.5,73.0,Lightweight Division,28.0,13,-3,2.0,0.15,5.0,0.38,6.0,0.46
922.0,Johnny Walker,0.53,1.0,3.87,3.12,0.44,0.57,0.45,0.89,0.6,6.72,206.0,78.0,82.0,Light Heavyweight Division,32.0,21,-9,16.0,0.76,2.0,0.1,3.0,0.14
928.0,Zhang Weili,0.54,0.46,5.15,2.77,0.54,0.74,2.24,0.52,0.26,14.52,115.0,64.0,63.0,Women's Strawweight Division,35.0,26,-3,11.0,0.42,7.0,0.27,8.0,0.31
929.0,Jeremiah Wells,0.43,0.44,2.41,1.31,0.49,0.8,3.08,0.84,0.56,8.92,186.0,69.0,74.0,Welterweight Division,37.0,12,-4,5.0,0.42,3.0,0.25,4.0,0.33
